bco_prodPicName_arbol,402.73,980.04,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
bco_prodPicName_arbol1,350.48,607.19,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
bco_prodPicName_arbol2,373.51,481.26,0,'ri:2','cog:2','sd:2','sk:2','kt:2',diss
bco_prodPicName_bala,498.81,681.31,-103.45,-9.73,763.80,426.22,3.24,17.99,bala
bco_prodPicName_bala1,472.91,672.78,-85.85,-12.80,807.04,385.89,2.58,12.32,bala
bco_prodPicName_bala2,471.78,678.94,-95.66,-8.74,813.53,392.53,2.59,18.01,bala
bco_prodPicName_bola,455.54,688.83,-52.29,-1.30,498.43,371.88,4.98,43.62,bola
bco_prodPicName_bola1,466.63,681.72,-107.52,-3.28,491.04,246.80,5.84,96.37,bola
bco_prodPicName_bola2,494.15,692.13,-73.56,-13.81,536.52,236.86,5.00,75.96,bola
bco_prodPicName_caca,455.22,726.37,23.61,-4.22,1927.25,1549.71,2.45,8.92,caca
bco_prodPicName_caca1,479.73,696.13,33.65,-7.39,2174.22,1892.17,2.20,5.71,caca
bco_prodPicName_caca2,403.77,724.50,33.87,-3.74,1741.21,1210.89,3.17,20.20,caca
bco_prodPicName_coco,464.28,878.43,83.62,11.04,351.02,523.86,13.83,296.50,coco
bco_prodPicName_coco1,453.06,925.32,51.50,0.65,786.67,640.66,6.46,65.85,coco
bco_prodPicName_coco2,452.97,935.22,37.10,1.12,915.38,763.93,5.06,36.56,coco
bco_prodPicName_dado,424.58,486.00,-157.57,-8.59,1390.46,899.92,0.20,-1.10,dado
bco_prodPicName_dado1,374.33,507.22,-105.37,-18.03,1335.46,875.97,0.37,-1.11,dado
bco_prodPicName_dado2,395.23,448.13,-114.70,-11.41,496.64,492.64,6.81,100.36,dado
bco_prodPicName_dodo,400.43,466.31,-65.16,-2.90,677.71,988.54,3.67,19.88,dodo
bco_prodPicName_dodo1,387.33,480.97,-52.68,-2.57,938.39,1425.94,2.46,6.93,dodo
bco_prodPicName_dodo2,356.38,507.33,-114.01,-5.60,836.73,1298.54,3.26,13.32,dodo
bco_prodPicName_gato,457.03,971.27,-131.85,-4.96,1225.07,1990.86,2.86,8.95,gato
bco_prodPicName_gato1,430.20,512.11,-99.36,-10.45,1254.92,1080.76,1.82,11.93,gato
bco_prodPicName_gato2,257.71,507.41,-124.63,-11.64,1162.54,1085.91,2.30,13.32,gato
bco_prodPicName_gota,437.71,701.96,-182.43,6.67,968.72,1496.79,3.69,15.21,gota
bco_prodPicName_gota1,465.95,692.70,-168.64,-3.25,1074.80,414.16,9.52,159.39,gota
bco_prodPicName_gota2,441.72,667.25,-116.57,-2.27,962.26,642.87,6.05,55.35,gota
bco_prodPicName_lapiz,680.08,947.36,0.92,-19.17,1079.71,480.42,2.13,11.51,diss
bco_prodPicName_lapiz1,654.65,958.17,0,-19.17,1079.71,480.42,2.13,11.51,diss
bco_prodPicName_lapiz2,545.38,809.49,0,-19.17,1079.71,480.42,2.13,11.51,diss
bco_prodPicName_libro,406.85,726.08,1.79,-7.92,501.46,913.73,2.89,9.62,diss
bco_prodPicName_libro1,376.45,584.10,0,-7.92,501.46,913.73,2.89,9.62,diss
bco_prodPicName_libro2,346.83,622.24,0.92,-9.97,320.46,602.17,4.64,23.57,diss
bco_prodPicName_manzana,439.21,719.25,0,-9.97,320.46,602.17,4.64,23.57,diss
bco_prodPicName_manzana1,438.74,787.54,0,-9.97,320.46,602.17,4.64,23.57,diss
bco_prodPicName_manzana2,489.24,889.06,0,-9.97,320.46,602.17,4.64,23.57,diss
bco_prodPicName_mochila,420.67,720.65,0,-9.97,320.46,602.17,4.64,23.57,diss
bco_prodPicName_mochila1,412.64,723.87,0,-9.97,320.46,602.17,4.64,23.57,diss
bco_prodPicName_mochila2,262.16,760.19,0,-9.97,320.46,602.17,4.64,23.57,diss
bco_prodPicName_palo,435.17,497.63,12.16,-12.51,736.05,391.44,2.45,35.87,palo
bco_prodPicName_palo1,387.38,569.57,11.91,-9.40,714.69,351.99,2.82,30.30,palo
bco_prodPicName_palo2,376.71,533.24,8.71,-16.13,768.57,333.62,2.55,16.35,palo
bco_prodPicName_polo,479.04,892.43,15.54,-0.74,248.02,483.37,6.46,76.26,polo
bco_prodPicName_polo1,545.85,938.75,17.76,-4.52,299.10,426.50,7.02,94.26,polo
bco_prodPicName_polo2,381.94,511.37,10.51,-8.87,475.99,256.66,5.40,116.66,polo
bco_prodPicName_silla,383.37,783.22,0,-8.87,475.99,256.66,5.40,116.66,diss
bco_prodPicName_silla1,421.44,708.80,0,-8.87,475.99,256.66,5.40,116.66,diss
bco_prodPicName_silla2,454.21,701.14,0,-8.87,475.99,256.66,5.40,116.66,diss
bco_prodPicName_sol,353.22,661.23,0,-8.87,475.99,256.66,5.40,116.66,diss
bco_prodPicName_sol1,387.67,541.76,0,-8.87,475.99,256.66,5.40,116.66,diss
bco_prodPicName_sol2,279.26,712.44,0,-8.87,475.99,256.66,5.40,116.66,diss
bco_prodPicName_sombrero,430.31,542.21,0,-8.87,475.99,256.66,5.40,116.66,diss
bco_prodPicName_sombrero1,358.08,703.68,0,-8.87,475.99,256.66,5.40,116.66,diss
bco_prodPicName_sombrero2,384.71,758.70,0,-8.87,475.99,256.66,5.40,116.66,diss
bco_prodPicName_taco,452.82,714.74,12.84,-10.93,675.67,601.26,4.04,32.04,taco
bco_prodPicName_taco1,363.74,508.76,13.77,-13.37,497.65,627.57,4.48,38.33,taco
bco_prodPicName_taco2,470.68,945.87,15.53,-14.68,687.11,950.16,5.11,33.68,taco
bco_prodPicName_topo,461.97,959.16,15.44,-6.08,867.56,1237.08,3.09,12.91,topo
bco_prodPicName_topo1,384.48,783.16,25.73,-3.13,1720.91,1904.17,1.49,2.44,topo
bco_prodPicName_topo2,340.09,427.42,22.48,-4.96,1270.25,1798.52,1.75,3.29,topo
